qsort CPU 0.033042
set inverses CPU 0.019948
Scaling parameter is 1024
499<-224<-179<-0 adds 441 incremental flow
499<-163<-182<-0 adds 309 incremental flow
499<-255<-183<-0 adds 481 incremental flow
499<-175<-187<-0 adds 323 incremental flow
499<-160<-198<-0 adds 374 incremental flow
499<-194<-206<-0 adds 263 incremental flow
499<-201<-210<-0 adds 344 incremental flow
499<-227<-213<-0 adds 361 incremental flow
499<-197<-221<-0 adds 292 incremental flow
499<-228<-225<-0 adds 389 incremental flow
499<-171<-226<-0 adds 354 incremental flow
499<-265<-230<-0 adds 366 incremental flow
499<-199<-232<-0 adds 270 incremental flow
499<-215<-238<-0 adds 333 incremental flow
499<-246<-240<-0 adds 385 incremental flow
499<-190<-242<-0 adds 351 incremental flow
499<-331<-245<-0 adds 324 incremental flow
499<-263<-247<-0 adds 281 incremental flow
499<-282<-250<-0 adds 269 incremental flow
499<-371<-251<-0 adds 307 incremental flow
499<-259<-254<-0 adds 376 incremental flow
499<-229<-261<-0 adds 361 incremental flow
499<-295<-269<-0 adds 381 incremental flow
499<-296<-272<-0 adds 262 incremental flow
499<-308<-280<-0 adds 306 incremental flow
499<-372<-283<-0 adds 363 incremental flow
499<-389<-283<-0 adds 389 incremental flow
499<-298<-288<-0 adds 341 incremental flow
499<-276<-290<-0 adds 419 incremental flow
499<-274<-292<-0 adds 367 incremental flow
499<-378<-307<-0 adds 301 incremental flow
499<-302<-312<-0 adds 465 incremental flow
499<-336<-314<-0 adds 281 incremental flow
499<-353<-316<-0 adds 282 incremental flow
499<-345<-323<-0 adds 277 incremental flow
499<-367<-326<-0 adds 263 incremental flow
499<-401<-332<-0 adds 373 incremental flow
499<-301<-333<-0 adds 265 incremental flow
499<-337<-333<-0 adds 318 incremental flow
499<-320<-334<-0 adds 273 incremental flow
499<-427<-342<-0 adds 281 incremental flow
499<-437<-342<-0 adds 286 incremental flow
499<-454<-342<-0 adds 379 incremental flow
499<-398<-344<-0 adds 287 incremental flow
499<-357<-346<-0 adds 342 incremental flow
499<-358<-359<-0 adds 290 incremental flow
499<-455<-363<-0 adds 264 incremental flow
499<-480<-363<-0 adds 275 incremental flow
499<-466<-374<-0 adds 289 incremental flow
499<-421<-383<-0 adds 332 incremental flow
499<-375<-387<-0 adds 372 incremental flow
499<-482<-388<-0 adds 314 incremental flow
499<-477<-410<-0 adds 256 incremental flow
499<-438<-413<-0 adds 282 incremental flow
499<-463<-420<-0 adds 445 incremental flow
499<-442<-422<-0 adds 345 incremental flow
499<-484<-426<-0 adds 348 incremental flow
499<-489<-435<-0 adds 344 incremental flow
499<-491<-436<-0 adds 284 incremental flow
499<-495<-443<-0 adds 266 incremental flow
499<-487<-445<-0 adds 328 incremental flow
499<-433<-446<-0 adds 259 incremental flow
Scaling parameter is 128
499<-108<-0 adds 154 incremental flow
499<-146<-0 adds 178 incremental flow
499<-176<-0 adds 150 incremental flow
499<-204<-0 adds 204 incremental flow
499<-252<-0 adds 140 incremental flow
499<-280<-0 adds 174 incremental flow
499<-421<-0 adds 134 incremental flow
499<-429<-0 adds 148 incremental flow
499<-493<-0 adds 130 incremental flow
499<-8<-12<-0 adds 221 incremental flow
499<-35<-17<-0 adds 130 incremental flow
499<-39<-18<-0 adds 166 incremental flow
499<-14<-19<-0 adds 207 incremental flow
499<-71<-40<-0 adds 217 incremental flow
499<-66<-41<-0 adds 171 incremental flow
499<-16<-42<-0 adds 195 incremental flow
499<-77<-49<-0 adds 142 incremental flow
499<-75<-50<-0 adds 146 incremental flow
499<-149<-60<-0 adds 229 incremental flow
499<-26<-67<-0 adds 148 incremental flow
499<-90<-73<-0 adds 166 incremental flow
499<-58<-81<-0 adds 177 incremental flow
499<-23<-87<-0 adds 142 incremental flow
499<-86<-103<-0 adds 156 incremental flow
499<-212<-133<-0 adds 149 incremental flow
499<-92<-137<-0 adds 150 incremental flow
499<-156<-145<-0 adds 210 incremental flow
499<-215<-148<-0 adds 170 incremental flow
